Family,Size,Method,Task,Quantization,Model_Name,Training_Cost_USD,Training_Energy_kWh,GPT4o_Cost_Per_Req,Local_Cost_Per_Req,Cost_Savings_Per_Req,N_break,ROI_Within_Hour,Hours_to_Breakeven
Qwen,3B,QLoRA,chat,INT4,aclnlp/Qwen-3B_QLoRA_INT4_chat-MERGED,0.07908630600000001,0.6590525500000001,0.00125,1.0406666666666666e-07,0.0012498959333333334,63.27431259743812,No,1.0545718766239687
Qwen,7B,LoRA,rag,FP16,aclnlp/Qwen-7B_LoRA_FP16_rag-FP16,0.010421643333333333,0.08684702777777778,0.00125,6.7866e-07,0.00124932134,8.341843687176057,Yes,0.13903072811960096
Qwen,7B,LoRA,rag,INT8,aclnlp/Qwen-7B_LoRA_FP16_rag-INT8,0.010421643333333333,0.08684702777777778,0.00125,4.1486999999999996e-07,0.00124958513,8.340082706756707,Yes,0.13900137844594512
Qwen,7B,LoRA,rag,INT4,aclnlp/Qwen-7B_LoRA_FP16_rag-INT4,0.010421643333333333,0.08684702777777778,0.00125,3.152866666666667e-07,0.0012496847133333334,8.33941811253758,Yes,0.13899030187562633
Qwen,7B,LoRA,summ,FP16,aclnlp/Qwen-7B_LoRA_FP16_summ-FP16,0.021940197666666668,0.18283498055555558,0.00125,9.569233333333334e-07,0.0012490430766666667,17.565605283381167,Yes,0.2927600880563528
Qwen,7B,LoRA,summ,INT8,aclnlp/Qwen-7B_LoRA_FP16_summ-INT8,0.021940197666666668,0.18283498055555558,0.00125,6.170666666666667e-07,0.0012493829333333334,17.56082709416446,Yes,0.29268045156940764
Qwen,7B,LoRA,summ,INT4,aclnlp/Qwen-7B_LoRA_FP16_summ-INT4,0.021940197666666668,0.18283498055555558,0.00125,4.0849333333333335e-07,0.0012495915066666667,17.55789596009098,Yes,0.29263159933484967
Qwen,7B,LoRA,chat,FP16,aclnlp/Qwen-7B_LoRA_FP16_chat-FP16,0.05443522099999999,0.4536268416666666,0.00125,4.328366666666666e-07,0.0012495671633333334,43.56326142149023,No,0.7260543570248372
Qwen,7B,LoRA,chat,INT8,aclnlp/Qwen-7B_LoRA_FP16_chat-INT8,0.05443522099999999,0.4536268416666666,0.00125,2.9712666666666664e-07,0.0012497028733333333,43.558530720830376,No,0.7259755120138396
Qwen,7B,LoRA,chat,INT4,aclnlp/Qwen-7B_LoRA_FP16_chat-INT4,0.05443522099999999,0.4536268416666666,0.00125,1.8413666666666666e-07,0.0012498158633333335,43.55459279802867,No,0.7259098799671445
Qwen,7B,QLoRA,rag,INT4,aclnlp/Qwen-7B_QLoRA_INT4_rag-MERGED,0.04782134633333333,0.3985112194444444,0.00125,2.6308e-07,0.00124973692,38.265130499092024,No,0.637752174984867
Qwen,7B,QLoRA,summ,INT4,aclnlp/Qwen-7B_QLoRA_INT4_summ-MERGED,0.08527550966666667,0.7106292472222222,0.00125,4.1519999999999996e-07,0.0012495848,68.24307535324266,No,1.137384589220711
Qwen,7B,QLoRA,chat,INT4,aclnlp/Qwen-7B_QLoRA_INT4_chat-MERGED,0.06910515466666665,0.5758762888888889,0.00125,1.9382e-07,0.00124980618,55.29269719779003,No,0.9215449532965004
Llama,1B,LoRA,rag,FP16,EkcupKadakChai/Llama-1B_LoRA_FP16_rag-FP16,0.003070743333333333,0.025589527777777777,0.00125,2.1654333333333332e-07,0.0012497834566666667,2.4570203077606747,Yes,0.04095033846267791
Llama,1B,LoRA,rag,INT8,EkcupKadakChai/Llama-1B_LoRA_FP16_rag-INT8,0.003070743333333333,0.025589527777777777,0.00125,1.3625333333333334e-07,0.0012498637466666668,2.456862471227663,Yes,0.04094770785379439
Llama,1B,LoRA,rag,INT4,EkcupKadakChai/Llama-1B_LoRA_FP16_rag-INT4,0.003070743333333333,0.025589527777777777,0.00125,7.873666666666666e-08,0.0012499212633333334,2.4567494156745266,Yes,0.040945823594575444
Llama,1B,LoRA,summ,FP16,EkcupKadakChai/Llama-1B_LoRA_FP16_summ-FP16,0.002499861666666667,0.02083218055555556,0.00125,3.1269666666666667e-07,0.0012496873033333333,2.000389745497695,Yes,0.03333982909162825
Llama,1B,LoRA,summ,INT8,EkcupKadakChai/Llama-1B_LoRA_FP16_summ-INT8,0.002499861666666667,0.02083218055555556,0.00125,2.0225333333333332e-07,0.0012497977466666666,2.000212973126287,Yes,0.03333688288543812
Llama,1B,LoRA,summ,INT4,EkcupKadakChai/Llama-1B_LoRA_FP16_summ-INT4,0.002499861666666667,0.02083218055555556,0.00125,1.1092666666666667e-07,0.0012498890733333335,2.000066821929867,Yes,0.033334447032164455
Llama,1B,LoRA,chat,FP16,EkcupKadakChai/Llama-1B_LoRA_FP16_chat-FP16,0.008288192,0.06906826666666667,0.00125,1.1574333333333332e-07,0.0012498842566666666,6.631167610754529,Yes,0.11051946017924215
Llama,1B,LoRA,chat,INT8,EkcupKadakChai/Llama-1B_LoRA_FP16_chat-INT8,0.008288192,0.06906826666666667,0.00125,7.848333333333332e-08,0.0012499215166666667,6.6309699364990795,Yes,0.11051616560831799
Llama,1B,LoRA,chat,INT4,EkcupKadakChai/Llama-1B_LoRA_FP16_chat-INT4,0.008288192,0.06906826666666667,0.00125,4.972e-08,0.00124995028,6.630817347390809,Yes,0.11051362245651349
Llama,1B,QLoRA,rag,INT4,EkcupKadakChai/Llama-1B_QLoRA_INT4_rag-MERGED,0.026135537333333334,0.21779614444444445,0.00125,9.569666666666666e-08,0.0012499043033333333,20.910030682855666,No,0.34850051138092775
Llama,1B,QLoRA,summ,INT4,EkcupKadakChai/Llama-1B_QLoRA_INT4_summ-MERGED,0.02120866933333333,0.1767389111111111,0.00125,1.1403333333333334e-07,0.0012498859666666667,16.968483444849724,Yes,0.2828080574141621
Llama,1B,QLoRA,chat,INT4,EkcupKadakChai/Llama-1B_QLoRA_INT4_chat-MERGED,0.042615899666666665,0.35513249722222223,0.00125,5.189666666666666e-08,0.0012499481033333333,34.094135230910425,No,0.5682355871818404
Llama,3B,LoRA,rag,FP16,EkcupKadakChai/Llama-3B_LoRA_FP16_rag-FP16,0.0064303450000000005,0.053586208333333336,0.00125,4.2760666666666663e-07,0.0012495723933333334,5.146036383571619,Yes,0.08576727305952699
Llama,3B,LoRA,rag,INT8,EkcupKadakChai/Llama-3B_LoRA_FP16_rag-INT8,0.0064303450000000005,0.053586208333333336,0.00125,2.6778000000000003e-07,0.0012497322200000001,5.145378263513122,Yes,0.08575630439188538
Llama,3B,LoRA,rag,INT4,EkcupKadakChai/Llama-3B_LoRA_FP16_rag-INT4,0.0064303450000000005,0.053586208333333336,0.00125,1.7452666666666667e-07,0.0012498254733333334,5.144994350971275,Yes,0.08574990584952125
Llama,3B,LoRA,summ,FP16,EkcupKadakChai/Llama-3B_LoRA_FP16_summ-FP16,0.03597835733333333,0.2998196444444444,0.00125,5.961633333333334e-07,0.0012494038366666668,28.79641976234153,No,0.4799403293723588
Llama,3B,LoRA,summ,INT8,EkcupKadakChai/Llama-3B_LoRA_FP16_summ-INT8,0.03597835733333333,0.2998196444444444,0.00125,3.995166666666667e-07,0.0012496004833333334,28.79188813800741,No,0.47986480230012346
Llama,3B,LoRA,summ,INT4,EkcupKadakChai/Llama-3B_LoRA_FP16_summ-INT4,0.03597835733333333,0.2998196444444444,0.00125,2.3957333333333334e-07,0.0012497604266666668,28.788203375341308,No,0.4798033895890218
Llama,3B,LoRA,chat,FP16,EkcupKadakChai/Llama-3B_LoRA_FP16_chat-FP16,0.01842476933333333,0.15353974444444443,0.00125,2.4307666666666666e-07,0.0012497569233333333,14.742682348333032,Yes,0.2457113724722172
Llama,3B,LoRA,chat,INT8,EkcupKadakChai/Llama-3B_LoRA_FP16_chat-INT8,0.01842476933333333,0.15353974444444443,0.00125,1.6869666666666668e-07,0.0012498313033333334,14.741804981355468,Yes,0.2456967496892578
Llama,3B,LoRA,chat,INT4,EkcupKadakChai/Llama-3B_LoRA_FP16_chat-INT4,0.01842476933333333,0.15353974444444443,0.00125,9.443666666666667e-08,0.0012499055633333333,14.740929134035456,Yes,0.24568215223392426
Llama,3B,QLoRA,rag,INT4,EkcupKadakChai/Llama-3B_QLoRA_INT4_rag-MERGED,0.04577711733333333,0.3814759777777778,0.00125,1.7779e-07,0.00124982221,36.62690338438883,No,0.6104483897398139
Llama,3B,QLoRA,summ,INT4,EkcupKadakChai/Llama-3B_QLoRA_INT4_summ-MERGED,0.062142837000000006,0.517856975,0.00125,2.8722666666666664e-07,0.0012497127733333334,49.72569563664432,No,0.828761593944072
Llama,3B,QLoRA,chat,INT4,EkcupKadakChai/Llama-3B_QLoRA_INT4_chat-MERGED,0.07539809633333333,0.6283174694444444,0.00125,1.0448666666666666e-07,0.0012498955133333333,60.32351946944344,No,1.0053919911573908
Llama,7B,LoRA,rag,FP16,EkcupKadakChai/Llama-7B_LoRA_FP16_rag-FP16,0.010596992,0.08830826666666666,0.00125,7.386033333333334e-07,0.0012492613966666667,8.48260582475001,Yes,0.1413767637458335
Llama,7B,LoRA,rag,INT8,EkcupKadakChai/Llama-7B_LoRA_FP16_rag-INT8,0.010596992,0.08830826666666666,0.00125,4.035033333333333e-07,0.0012495964966666667,8.480331073484736,Yes,0.1413388512247456
Llama,7B,LoRA,rag,INT4,EkcupKadakChai/Llama-7B_LoRA_FP16_rag-INT4,0.010596992,0.08830826666666666,0.00125,2.8563666666666664e-07,0.0012497143633333333,8.47953125203338,Yes,0.141325520867223
Llama,7B,LoRA,summ,FP16,EkcupKadakChai/Llama-7B_LoRA_FP16_summ-FP16,0.022337001,0.186141675,0.00125,1.1597633333333333e-06,0.0012488402366666667,17.886195803252345,Yes,0.29810326338753906
Llama,7B,LoRA,summ,INT8,EkcupKadakChai/Llama-7B_LoRA_FP16_summ-INT8,0.022337001,0.186141675,0.00125,6.3207e-07,0.0012493679300000001,17.87864124221597,Yes,0.2979773540369328
Llama,7B,LoRA,summ,INT4,EkcupKadakChai/Llama-7B_LoRA_FP16_summ-INT4,0.022337001,0.186141675,0.00125,4.266833333333333e-07,0.0012495733166666668,17.875702611500756,Yes,0.29792837685834594
Llama,7B,LoRA,chat,FP16,EkcupKadakChai/Llama-7B_LoRA_FP16_chat-FP16,0.06582615933333334,0.5485513277777778,0.00125,4.575066666666666e-07,0.0012495424933333334,52.68020870401345,No,0.8780034784002242
Llama,7B,LoRA,chat,INT8,EkcupKadakChai/Llama-7B_LoRA_FP16_chat-INT8,0.06582615933333334,0.5485513277777778,0.00125,2.830533333333333e-07,0.0012497169466666666,52.67285484837949,No,0.8778809141396581
Llama,7B,LoRA,chat,INT4,EkcupKadakChai/Llama-7B_LoRA_FP16_chat-INT4,0.06582615933333334,0.5485513277777778,0.00125,1.6973999999999998e-07,0.00124983026,52.66807937050055,No,0.8778013228416758
Llama,7B,QLoRA,rag,INT4,EkcupKadakChai/Llama-7B_QLoRA_INT4_rag-MERGED,0.049881502,0.41567918333333337,0.00125,3.0250666666666665e-07,0.0012496974933333333,39.914861209291914,No,0.6652476868215319
Llama,7B,QLoRA,summ,INT4,EkcupKadakChai/Llama-7B_QLoRA_INT4_summ-MERGED,0.08954653833333333,0.7462211527777778,0.00125,4.863966666666667e-07,0.0012495136033333334,71.66511680581115,No,1.194418613430186
Llama,7B,QLoRA,chat,INT4,EkcupKadakChai/Llama-7B_QLoRA_INT4_chat-MERGED,0.08201134233333332,0.6834278527777777,0.00125,1.9119333333333333e-07,0.0012498088066666667,65.61911061585786,No,1.093651843597631
