Adapter_Name,Base_Model,Adapter_Type,Operation,Precision,Total_Joules,Avg_Watts,Seconds,HF_Repo,Status,GPU0_Joules,GPU0_Peak_Watts,GPU1_Joules,GPU1_Peak_Watts
3B_LoRA_FP16_chat,meta-llama/Llama-3.2-3B-Instruct,LoRA_FP16,QUANTIZE,INT8,4935.14,45.17,109.26,EkcupKadakChai/Llama-3B_LoRA_FP16_chat-INT8,SUCCESS,2542.39,29.71,2392.75,29.81
3B_LoRA_FP16_chat,meta-llama/Llama-3.2-3B-Instruct,LoRA_FP16,QUANTIZE,INT4,3906.82,44.48,87.84,EkcupKadakChai/Llama-3B_LoRA_FP16_chat-INT4,SUCCESS,2008.92,50.43,1897.90,56.72
3B_LoRA_FP16_rag,meta-llama/Llama-3.2-3B-Instruct,LoRA_FP16,MERGE,FP16,5509.65,48.03,114.72,EkcupKadakChai/Llama-3B_LoRA_FP16_rag-FP16,SUCCESS,2840.96,29.71,2668.70,29.21
3B_LoRA_FP16_rag,meta-llama/Llama-3.2-3B-Instruct,LoRA_FP16,QUANTIZE,INT8,5647.49,37.87,149.14,EkcupKadakChai/Llama-3B_LoRA_FP16_rag-INT8,SUCCESS,2825.62,28.84,2821.86,29.43
3B_LoRA_FP16_rag,meta-llama/Llama-3.2-3B-Instruct,LoRA_FP16,QUANTIZE,INT4,4166.72,43.35,96.11,EkcupKadakChai/Llama-3B_LoRA_FP16_rag-INT4,SUCCESS,2077.42,29.90,2089.30,33.92
3B_LoRA_FP16_summ,meta-llama/Llama-3.2-3B-Instruct,LoRA_FP16,MERGE,FP16,6039.06,49.14,122.90,EkcupKadakChai/Llama-3B_LoRA_FP16_summ-FP16,SUCCESS,3008.92,29.12,3030.13,29.53
3B_LoRA_FP16_summ,meta-llama/Llama-3.2-3B-Instruct,LoRA_FP16,QUANTIZE,INT8,5195.90,46.00,112.96,EkcupKadakChai/Llama-3B_LoRA_FP16_summ-INT8,SUCCESS,2576.37,30.99,2619.53,30.50
3B_LoRA_FP16_summ,meta-llama/Llama-3.2-3B-Instruct,LoRA_FP16,QUANTIZE,INT4,4110.20,44.55,92.25,EkcupKadakChai/Llama-3B_LoRA_FP16_summ-INT4,SUCCESS,2033.40,31.46,2076.81,35.67
7B_LoRA_FP16_chat,meta-llama/Llama-3.1-8B-Instruct,LoRA_FP16,MERGE,FP16,17916.01,39.09,458.37,EkcupKadakChai/Llama-7B_LoRA_FP16_chat-FP16,SUCCESS,8880.02,56.78,9036.00,57.76
7B_LoRA_FP16_chat,meta-llama/Llama-3.1-8B-Instruct,LoRA_FP16,QUANTIZE,INT8,16861.43,45.06,374.23,EkcupKadakChai/Llama-7B_LoRA_FP16_chat-INT8,SUCCESS,8308.95,59.09,8552.48,57.23
7B_LoRA_FP16_chat,meta-llama/Llama-3.1-8B-Instruct,LoRA_FP16,QUANTIZE,INT4,13552.98,34.48,393.07,EkcupKadakChai/Llama-7B_LoRA_FP16_chat-INT4,SUCCESS,6655.76,64.85,6897.22,58.03
7B_LoRA_FP16_rag,meta-llama/Llama-3.1-8B-Instruct,LoRA_FP16,MERGE,FP16,19310.37,49.59,389.40,EkcupKadakChai/Llama-7B_LoRA_FP16_rag-FP16,SUCCESS,9407.83,58.55,9902.54,56.56
7B_LoRA_FP16_rag,meta-llama/Llama-3.1-8B-Instruct,LoRA_FP16,QUANTIZE,INT8,14804.75,33.48,442.25,EkcupKadakChai/Llama-7B_LoRA_FP16_rag-INT8,SUCCESS,7501.55,55.25,7303.19,54.73
7B_LoRA_FP16_rag,meta-llama/Llama-3.1-8B-Instruct,LoRA_FP16,QUANTIZE,INT4,11821.00,40.49,291.94,EkcupKadakChai/Llama-7B_LoRA_FP16_rag-INT4,SUCCESS,6065.44,36.02,5755.56,43.69
7B_LoRA_FP16_summ,meta-llama/Llama-3.1-8B-Instruct,LoRA_FP16,MERGE,FP16,19165.32,42.81,447.66,EkcupKadakChai/Llama-7B_LoRA_FP16_summ-FP16,SUCCESS,9486.70,37.18,9678.62,40.32
7B_LoRA_FP16_summ,meta-llama/Llama-3.1-8B-Instruct,LoRA_FP16,QUANTIZE,INT8,18759.39,50.65,370.37,EkcupKadakChai/Llama-7B_LoRA_FP16_summ-INT8,SUCCESS,9238.36,45.86,9521.03,48.00
7B_LoRA_FP16_summ,meta-llama/Llama-3.1-8B-Instruct,LoRA_FP16,QUANTIZE,INT4,12986.73,34.13,380.46,EkcupKadakChai/Llama-7B_LoRA_FP16_summ-INT4,SUCCESS,6474.42,57.02,6512.30,41.72
1B_QLoRA_INT4_chat,meta-llama/Llama-3.2-1B-Instruct,QLoRA_INT4,MERGE,INT4,2335.17,53.09,43.99,EkcupKadakChai/Llama-1B_QLoRA_INT4_chat-MERGED,SUCCESS,1173.45,56.07,1161.72,29.79
1B_QLoRA_INT4_rag,meta-llama/Llama-3.2-1B-Instruct,QLoRA_INT4,MERGE,INT4,2287.69,52.84,43.30,EkcupKadakChai/Llama-1B_QLoRA_INT4_rag-MERGED,SUCCESS,1143.90,29.91,1143.79,29.89
1B_QLoRA_INT4_summ,meta-llama/Llama-3.2-1B-Instruct,QLoRA_INT4,MERGE,INT4,2375.19,53.91,44.06,EkcupKadakChai/Llama-1B_QLoRA_INT4_summ-MERGED,SUCCESS,1188.47,30.30,1186.71,30.27
3B_QLoRA_INT4_chat,meta-llama/Llama-3.2-3B-Instruct,QLoRA_INT4,MERGE,INT4,5689.77,51.17,111.20,EkcupKadakChai/Llama-3B_QLoRA_INT4_chat-MERGED,SUCCESS,2842.90,30.98,2846.86,31.26
3B_QLoRA_INT4_rag,meta-llama/Llama-3.2-3B-Instruct,QLoRA_INT4,MERGE,INT4,5830.12,51.56,113.07,EkcupKadakChai/Llama-3B_QLoRA_INT4_rag-MERGED,SUCCESS,2919.93,31.77,2910.19,32.24
3B_QLoRA_INT4_summ,meta-llama/Llama-3.2-3B-Instruct,QLoRA_INT4,MERGE,INT4,6068.42,53.05,114.38,EkcupKadakChai/Llama-3B_QLoRA_INT4_summ-MERGED,SUCCESS,3054.55,32.56,3013.87,32.05
7B_QLoRA_INT4_chat,meta-llama/Llama-3.1-8B-Instruct,QLoRA_INT4,MERGE,INT4,16643.45,37.19,447.47,EkcupKadakChai/Llama-7B_QLoRA_INT4_chat-MERGED,SUCCESS,8245.11,54.62,8398.34,55.96
7B_QLoRA_INT4_rag,meta-llama/Llama-3.1-8B-Instruct,QLoRA_INT4,MERGE,INT4,16792.27,46.41,361.82,EkcupKadakChai/Llama-7B_QLoRA_INT4_rag-MERGED,SUCCESS,8278.55,41.36,8513.72,37.75
7B_QLoRA_INT4_summ,meta-llama/Llama-3.1-8B-Instruct,QLoRA_INT4,MERGE,INT4,19846.67,43.71,454.01,EkcupKadakChai/Llama-7B_QLoRA_INT4_summ-MERGED,SUCCESS,9842.46,40.52,10004.21,38.64


