Model_ID,Family,Size,Method,Precision,Task,Quantization,Num_Samples,Total_Tokens,Model_Load_Time,Inference_Time,Overall_Throughput,TTFT_Mean,TTFT_Median,ITL_Mean,ITL_Median,Energy_Total_J,Power_Avg_W,Power_Peak_W,Status
EkcupKadakChai/Llama-3B_LoRA_FP16_summ-INT8,Llama,3B,LoRA,INT8,summ,INT8,100,20000,12.51,11.06,1808.35,42.34,41.16,14.41,14.18,1198.55,108.37,117.29,success
EkcupKadakChai/Llama-3B_LoRA_FP16_summ-FP16,Llama,3B,LoRA,FP16,summ,FP16,100,20000,18.57,15.56,1285.44,51.07,53.48,21.85,21.31,1788.49,114.95,124.16,success
EkcupKadakChai/Llama-3B_QLoRA_INT4_summ-MERGED,Llama,3B,QLoRA,INT4,summ,INT4,100,20000,9.74,9.38,2132.58,36.48,36.49,11.29,11.04,861.68,91.88,98.68,success
EkcupKadakChai/Llama-3B_LoRA_FP16_summ-INT4,Llama,3B,LoRA,INT4,summ,INT4,100,20000,9.45,8.7,2299.36,39.17,38.16,12.83,13.16,718.72,82.63,92.78,success
EkcupKadakChai/Llama-3B_LoRA_FP16_chat-FP16,Llama,3B,LoRA,FP16,chat,FP16,100,10000,18.01,6.53,1531.75,53.9,54.09,18.36,18.98,729.23,111.7,119.37,success
EkcupKadakChai/Llama-3B_QLoRA_INT4_chat-MERGED,Llama,3B,QLoRA,INT4,chat,INT4,100,10000,9.24,3.55,2815.36,36.97,35.18,12.43,12.09,313.46,88.25,94.2,success
EkcupKadakChai/Llama-3B_LoRA_FP16_chat-INT8,Llama,3B,LoRA,INT8,chat,INT8,100,10000,14.4,4.68,2135.58,46.81,45.11,15.1,14.52,506.09,108.08,122.96,success
EkcupKadakChai/Llama-3B_LoRA_FP16_chat-INT4,Llama,3B,LoRA,INT4,chat,INT4,100,10000,9.68,3.51,2846.03,37.96,38.17,12.47,12.15,283.31,80.63,91.9,success
EkcupKadakChai/Llama-1B_LoRA_FP16_rag-INT8,Llama,1B,LoRA,INT8,rag,INT8,100,15000,8.1,4.6,3257.93,25.79,25.4,10.6,11.02,408.76,88.78,100.14,success
EkcupKadakChai/Llama-1B_LoRA_FP16_rag-FP16,Llama,1B,LoRA,FP16,rag,FP16,100,15000,10.28,7.3,2053.62,30.3,31.51,13.28,12.63,649.63,88.94,99.29,success
EkcupKadakChai/Llama-1B_QLoRA_INT4_rag-MERGED,Llama,1B,QLoRA,INT4,rag,INT4,100,15000,4.96,3.9,3849.12,22.32,22.74,8.3,8.08,287.09,73.67,79.1,success
EkcupKadakChai/Llama-1B_LoRA_FP16_rag-INT4,Llama,1B,LoRA,INT4,rag,INT4,100,15000,5.31,3.55,4230.52,22.76,23.56,8.31,8.37,236.21,66.62,72.4,success
EkcupKadakChai/Llama-1B_LoRA_FP16_summ-INT8,Llama,1B,LoRA,INT8,summ,INT8,100,20000,7.15,6.93,2885.51,29.17,28.86,10.94,11.08,606.76,87.54,96.32,success
EkcupKadakChai/Llama-1B_LoRA_FP16_summ-FP16,Llama,1B,LoRA,FP16,summ,FP16,100,20000,10.15,9.65,2072.52,30.52,31.2,12.43,11.84,938.09,97.21,103.79,success
EkcupKadakChai/Llama-1B_QLoRA_INT4_summ-MERGED,Llama,1B,QLoRA,INT4,summ,INT4,100,20000,5.98,4.86,4117.55,23.93,23.62,7.28,7.59,342.1,70.43,80.76,success
EkcupKadakChai/Llama-1B_LoRA_FP16_summ-INT4,Llama,1B,LoRA,INT4,summ,INT4,100,20000,6.01,4.93,4055.57,21.19,20.95,8.63,8.47,332.78,67.48,74.61,success
EkcupKadakChai/Llama-1B_LoRA_FP16_chat-FP16,Llama,1B,LoRA,FP16,chat,FP16,100,10000,10.87,3.88,2578.41,32.96,31.63,13.3,13.95,347.23,89.53,98.65,success
EkcupKadakChai/Llama-1B_QLoRA_INT4_chat-MERGED,Llama,1B,QLoRA,INT4,chat,INT4,100,10000,5.92,2.08,4803.17,22.97,23.44,7.83,7.67,155.69,74.78,84.57,success
EkcupKadakChai/Llama-1B_LoRA_FP16_chat-INT4,Llama,1B,LoRA,INT4,chat,INT4,100,10000,5.9,2.03,4930.8,22.15,22.15,8.54,8.67,149.16,73.55,83.08,success
EkcupKadakChai/Llama-1B_LoRA_FP16_chat-INT8,Llama,1B,LoRA,INT8,chat,INT8,100,10000,8.09,2.83,3531.04,25.99,24.93,10.3,9.82,235.45,83.14,91.81,success
aclnlp/Qwen-7B_LoRA_FP16_rag-INT8,Qwen,7B,LoRA,INT8,rag,INT8,100,15000,24.41,11.14,1346.33,55.73,53.15,22.42,22.11,1244.61,111.71,123.13,success
aclnlp/Qwen-7B_LoRA_FP16_rag-INT4,Qwen,7B,LoRA,INT4,rag,INT4,100,15000,19.71,9.28,1616.14,52.25,50.09,15.24,15.29,945.86,101.91,113.5,success
aclnlp/Qwen-7B_LoRA_FP16_rag-FP16,Qwen,7B,LoRA,FP16,rag,FP16,100,15000,35.54,15.23,984.88,75.24,73.91,28.59,27.94,2035.98,133.68,141.41,success
aclnlp/Qwen-7B_QLoRA_INT4_rag-MERGED,Qwen,7B,QLoRA,INT4,rag,INT4,100,15000,16.92,8.25,1818.45,54.43,55.49,16.44,15.9,789.24,95.68,102.86,success
aclnlp/Qwen-7B_LoRA_FP16_summ-INT8,Qwen,7B,LoRA,INT8,summ,INT8,100,20000,25.75,15.45,1294.62,63.47,62.07,22.98,23.52,1851.2,119.83,133.16,success
aclnlp/Qwen-7B_LoRA_FP16_summ-INT4,Qwen,7B,LoRA,INT4,summ,INT4,100,20000,18.4,13.05,1532.46,49.53,50.81,15.11,14.53,1225.48,93.9,98.97,success
aclnlp/Qwen-7B_LoRA_FP16_summ-FP16,Qwen,7B,LoRA,FP16,summ,FP16,100,20000,36.42,22.44,891.33,74.61,71.61,26.95,26.88,2870.77,127.94,139.89,success
aclnlp/Qwen-7B_QLoRA_INT4_summ-MERGED,Qwen,7B,QLoRA,INT4,summ,INT4,100,20000,18.32,12.3,1626.52,52.38,50.0,16.32,16.53,1245.6,101.3,115.04,success
aclnlp/Qwen-7B_LoRA_FP16_chat-INT8,Qwen,7B,LoRA,INT8,chat,INT8,100,10000,26.31,7.01,1426.67,56.22,57.02,19.07,19.23,891.38,127.17,140.84,success
aclnlp/Qwen-7B_LoRA_FP16_chat-INT4,Qwen,7B,LoRA,INT4,chat,INT4,100,10000,18.28,5.08,1968.11,50.57,50.8,18.22,18.01,552.41,108.72,124.0,success
aclnlp/Qwen-7B_LoRA_FP16_chat-FP16,Qwen,7B,LoRA,FP16,chat,FP16,100,10000,31.93,10.33,968.34,69.01,65.69,24.81,25.26,1298.51,125.74,136.04,success
aclnlp/Qwen-7B_QLoRA_INT4_chat-MERGED,Qwen,7B,QLoRA,INT4,chat,INT4,100,10000,19.99,5.63,1777.24,54.21,53.03,15.46,15.77,581.46,103.34,117.57,success
aclnlp/Qwen-3B_LoRA_FP16_rag-FP16,Qwen,3B,LoRA,FP16,rag,FP16,100,15000,19.37,10.42,1439.46,50.21,48.59,21.0,21.65,1292.46,124.03,135.34,success
aclnlp/Qwen-3B_QLoRA_INT4_rag-MERGED,Qwen,3B,QLoRA,INT4,rag,INT4,100,15000,9.91,5.66,2652.0,34.56,36.05,13.29,13.19,507.41,89.71,100.97,success
aclnlp/Qwen-3B_LoRA_FP16_rag-INT8,Qwen,3B,LoRA,INT8,rag,INT8,100,15000,12.77,7.08,2118.77,43.1,44.5,15.04,15.63,703.78,99.41,104.48,success
aclnlp/Qwen-3B_LoRA_FP16_rag-INT4,Qwen,3B,LoRA,INT4,rag,INT4,100,15000,11.0,6.32,2373.6,34.41,35.96,13.52,13.62,556.56,88.07,96.42,success
aclnlp/Qwen-3B_LoRA_FP16_summ-FP16,Qwen,3B,LoRA,FP16,summ,FP16,100,20000,17.73,15.88,1259.3,54.31,55.68,21.17,21.78,1706.98,107.48,118.17,success
aclnlp/Qwen-3B_QLoRA_INT4_summ-MERGED,Qwen,3B,QLoRA,INT4,summ,INT4,100,20000,9.27,8.28,2414.36,35.28,36.65,12.03,11.57,673.64,81.32,91.58,success
aclnlp/Qwen-3B_LoRA_FP16_summ-INT8,Qwen,3B,LoRA,INT8,summ,INT8,100,20000,14.2,11.38,1757.64,39.47,40.26,14.27,14.73,1189.55,104.54,110.62,success
aclnlp/Qwen-3B_LoRA_FP16_summ-INT4,Qwen,3B,LoRA,INT4,summ,INT4,100,20000,9.33,7.75,2581.89,34.8,34.35,13.18,13.77,720.09,92.96,104.61,success
aclnlp/Qwen-3B_LoRA_FP16_chat-FP16,Qwen,3B,LoRA,FP16,chat,FP16,100,10000,18.04,6.87,1456.04,55.41,55.73,19.7,20.5,740.71,107.85,118.55,success
aclnlp/Qwen-3B_QLoRA_INT4_chat-MERGED,Qwen,3B,QLoRA,INT4,chat,INT4,100,10000,9.18,3.48,2871.53,32.53,31.29,11.45,11.62,312.2,89.65,99.36,success
aclnlp/Qwen-3B_LoRA_FP16_chat-INT8,Qwen,3B,LoRA,INT8,chat,INT8,100,10000,15.16,4.51,2216.71,41.2,42.72,14.74,15.42,420.89,93.3,107.01,success
aclnlp/Qwen-3B_LoRA_FP16_chat-INT4,Qwen,3B,LoRA,INT4,chat,INT4,100,10000,9.25,3.26,3066.61,35.9,37.67,11.34,11.4,302.39,92.73,102.21,success
aclnlp/Qwen-1B_LoRA_FP16_rag-FP16,Qwen,1B,LoRA,FP16,rag,FP16,100,15000,10.26,6.36,2359.66,32.2,32.62,13.22,13.75,559.97,88.09,94.97,success
aclnlp/Qwen-1B_QLoRA_INT4_rag-MERGED,Qwen,1B,QLoRA,INT4,rag,INT4,100,15000,6.0,3.34,4497.11,21.9,22.17,7.7,7.46,236.29,70.84,76.88,success
aclnlp/Qwen-1B_LoRA_FP16_rag-INT4,Qwen,1B,LoRA,INT4,rag,INT4,100,15000,5.59,3.8,3946.82,24.2,25.37,8.38,8.41,262.54,69.08,78.15,success
aclnlp/Qwen-1B_LoRA_FP16_rag-INT8,Qwen,1B,LoRA,INT8,rag,INT8,100,15000,7.78,4.78,3138.51,28.84,29.77,11.05,11.3,406.82,85.12,92.93,success
aclnlp/Qwen-1B_LoRA_FP16_summ-FP16,Qwen,1B,LoRA,FP16,summ,FP16,100,20000,10.87,8.76,2284.39,29.54,28.14,12.68,13.07,896.61,102.41,109.07,success
aclnlp/Qwen-1B_QLoRA_INT4_summ-MERGED,Qwen,1B,QLoRA,INT4,summ,INT4,100,20000,5.6,5.11,3916.22,24.18,25.0,8.61,8.58,358.92,70.28,75.71,success
aclnlp/Qwen-1B_LoRA_FP16_summ-INT4,Qwen,1B,LoRA,INT4,summ,INT4,100,20000,5.01,4.73,4225.27,23.48,24.66,8.86,8.91,351.79,74.32,85.05,success
aclnlp/Qwen-1B_LoRA_FP16_summ-INT8,Qwen,1B,LoRA,INT8,summ,INT8,100,20000,8.02,6.66,3002.61,26.39,25.41,11.06,11.18,532.67,79.97,89.34,success
aclnlp/Qwen-1B_LoRA_FP16_chat-FP16,Qwen,1B,LoRA,FP16,chat,FP16,100,10000,10.24,3.94,2541.0,29.99,30.5,13.05,13.41,375.09,95.31,108.19,success
aclnlp/Qwen-1B_QLoRA_INT4_chat-MERGED,Qwen,1B,QLoRA,INT4,chat,INT4,100,10000,5.56,2.06,4856.9,23.76,23.54,7.47,7.12,152.69,74.16,82.47,success
aclnlp/Qwen-1B_LoRA_FP16_chat-INT4,Qwen,1B,LoRA,INT4,chat,INT4,100,10000,5.72,2.18,4589.1,20.49,19.5,7.82,7.89,152.58,70.02,76.59,success
aclnlp/Qwen-1B_LoRA_FP16_chat-INT8,Qwen,1B,LoRA,INT8,chat,INT8,100,10000,8.11,2.72,3678.47,26.72,27.48,9.93,10.05,240.45,88.45,101.27,success
