Adapter_Name,Base_Model,Adapter_Type,Operation,Precision,Total_Joules,Avg_Watts,Seconds,HF_Repo,Status,GPU0_Joules,GPU0_Peak_Watts,GPU1_Joules,GPU1_Peak_Watts
7B_LoRA_FP16_rag,Qwen/Qwen2.5-7B-Instruct,LoRA_FP16,MERGE,FP16,4516.70,34.15,132.27,aclnlp/Qwen-7B_LoRA_FP16_rag-FP16,SUCCESS,2383.06,40.62,2133.63,32.90
7B_LoRA_FP16_summ,Qwen/Qwen2.5-7B-Instruct,LoRA_FP16,MERGE,FP16,4734.01,34.33,137.90,aclnlp/Qwen-7B_LoRA_FP16_summ-FP16,SUCCESS,2507.80,63.48,2226.20,31.94
1B_QLoRA_INT4_chat,Qwen/Qwen2.5-1.5B-Instruct,QLoRA_INT4,MERGE,INT4,1067.21,51.27,20.82,aclnlp/Qwen-1B_QLoRA_INT4_chat-MERGED,SUCCESS,563.28,31.94,503.93,28.03
1B_QLoRA_INT4_rag,Qwen/Qwen2.5-1.5B-Instruct,QLoRA_INT4,MERGE,INT4,415.08,40.44,10.26,aclnlp/Qwen-1B_QLoRA_INT4_rag-MERGED,SUCCESS,218.60,31.45,196.48,28.41
1B_QLoRA_INT4_summ,Qwen/Qwen2.5-1.5B-Instruct,QLoRA_INT4,MERGE,INT4,444.52,44.02,10.10,aclnlp/Qwen-1B_QLoRA_INT4_summ-MERGED,SUCCESS,234.19,31.54,210.33,28.41
3B_QLoRA_INT4_chat,Qwen/Qwen2.5-3B-Instruct,QLoRA_INT4,MERGE,INT4,2012.78,42.46,47.40,aclnlp/Qwen-3B_QLoRA_INT4_chat-MERGED,SUCCESS,1061.59,31.84,951.19,28.41
3B_QLoRA_INT4_rag,Qwen/Qwen2.5-3B-Instruct,QLoRA_INT4,MERGE,INT4,2073.90,42.49,48.81,aclnlp/Qwen-3B_QLoRA_INT4_rag-MERGED,SUCCESS,1093.99,32.72,979.91,28.31
3B_QLoRA_INT4_summ,Qwen/Qwen2.5-3B-Instruct,QLoRA_INT4,MERGE,INT4,1940.05,44.50,43.60,aclnlp/Qwen-3B_QLoRA_INT4_summ-MERGED,SUCCESS,1029.30,57.88,910.75,28.51
7B_QLoRA_INT4_chat,Qwen/Qwen2.5-7B-Instruct,QLoRA_INT4,MERGE,INT4,5132.39,35.74,143.60,aclnlp/Qwen-7B_QLoRA_INT4_chat-MERGED,SUCCESS,2703.49,61.07,2428.89,61.33
7B_QLoRA_INT4_rag,Qwen/Qwen2.5-7B-Instruct,QLoRA_INT4,MERGE,INT4,5147.66,35.14,146.48,aclnlp/Qwen-7B_QLoRA_INT4_rag-MERGED,SUCCESS,2720.94,66.52,2426.71,32.33
7B_QLoRA_INT4_summ,Qwen/Qwen2.5-7B-Instruct,QLoRA_INT4,MERGE,INT4,5112.82,34.94,146.34,aclnlp/Qwen-7B_QLoRA_INT4_summ-MERGED,SUCCESS,2693.70,65.78,2419.12,66.81
7B_LoRA_FP16_rag,Qwen/Qwen2.5-7B-Instruct,LoRA_FP16,QUANTIZE,INT8,14567.33,38.10,323.46,aclnlp/Qwen-7B_LoRA_FP16_rag-INT8,SUCCESS,7778.73,36.43,7657.60,51.93
7B_LoRA_FP16_rag,Qwen/Qwen2.5-7B-Instruct,LoRA_FP16,QUANTIZE,INT4,12796.33,35.20,363.49,aclnlp/Qwen-7B_LoRA_FP16_rag-INT4,SUCCESS,6178.73,34.44,6617.60,50.95
7B_LoRA_FP16_summ,Qwen/Qwen2.5-7B-Instruct,LoRA_FP16,QUANTIZE,INT8,14949.09,46.54,321.22,aclnlp/Qwen-7B_LoRA_FP16_summ-INT8,SUCCESS,7065.80,41.11,7883.29,45.37
7B_LoRA_FP16_summ,Qwen/Qwen2.5-7B-Instruct,LoRA_FP16,QUANTIZE,INT4,12651.06,34.83,363.21,aclnlp/Qwen-7B_LoRA_FP16_summ-INT4,SUCCESS,6305.72,40.81,6345.33,41.55
7B_LoRA_FP16_chat,Qwen/Qwen2.5-7B-Instruct,LoRA_FP16,QUANTIZE,INT8,14458.54,35.07,412.31,aclnlp/Qwen-7B_LoRA_FP16_chat-INT8,SUCCESS,7114.08,34.79,7344.46,60.67
7B_LoRA_FP16_chat,Qwen/Qwen2.5-7B-Instruct,LoRA_FP16,QUANTIZE,INT4,13187.40,45.70,288.56,aclnlp/Qwen-7B_LoRA_FP16_chat-INT4,SUCCESS,6419.76,40.66,6767.64,43.64
